date,city,total-first-dose,total-full-dose,first-dose-med,full-dose-med,first-dose-officer,full-dose-officer,first-dose-elder,full-dose-elder,first-dose-chronic,full-dose-chronic,first-dose-risky-area,full-dose-risky-area,first-dose-general,full-dose-general
28-02-21,สมุทรสาคร,159,0,66,,47,,,,21,,,,25,
28-02-21,นนทบุรี,95,0,85,,10,,,,,,,,,
01-03-21,สมุทรสาคร,1288,0,1281,,7,,,,,,,,,
01-03-21,นนทบุรี,0,0,,,,,,,,,,,,
01-03-21,ปทุมธานี,320,0,213,,46,,,,,,,,61,
01-03-21,สมุทรปราการ,200,0,200,,,,,,,,,,,
01-03-21,กรุงเทพมหานคร,83,0,83,,,,,,,,,,,
01-03-21,ตาก,0,0,,,,,,,,,,,,
01-03-21,นครปฐม,357,0,344,,13,,,,,,,,,
01-03-21,สมุทรสงคราม,111,0,101,,10,,,,,,,,,
01-03-21,ราชบุรี,26,0,26,,,,,,,,,,,
01-03-21,ชลบุรี,292,0,292,,,,,,,,,,,
01-03-21,เชียงใหม่,0,0,,,,,,,,,,,,
01-03-21,ภูเก็ต,50,0,50,,,,,,,,,,,
01-03-21,สุราษฎร์ธานี,40,0,40,,,,,,,,,,,
02-03-21,สมุทรสาคร,1483,0,1348,,129,,,,1,,5,,,
02-03-21,นนทบุรี,237,0,237,,,,,,,,,,,
02-03-21,ปทุมธานี,0,0,,,,,,,,,,,,
02-03-21,สมุทรปราการ,0,0,,,,,,,,,,,,
02-03-21,กรุงเทพมหานคร,129,0,129,,,,,,,,,,,
02-03-21,ตาก,231,0,231,,,,,,,,,,,
02-03-21,นครปฐม,719,0,651,,68,,,,,,,,,
02-03-21,สมุทรสงคราม,159,0,159,,,,,,,,,,,
02-03-21,ราชบุรี,305,0,305,,,,,,,,,,,
02-03-21,ชลบุรี,732,0,732,,,,,,,,,,,
02-03-21,เชียงใหม่,76,0,6,,70,,,,,,,,,
02-03-21,ภูเก็ต,0,0,,,,,,,,,,,,
02-03-21,สุราษฎร์ธานี,170,0,159,,11,,,,,,,,,
03-03-21,เชียงใหม่,271,0,189,,82,,,,,,,,,
03-03-21,ตาก,339,0,332,,7,,,,,,,,,
03-03-21,นนทบุรี,521,0,521,,,,,,,,,,,
03-03-21,ปทุมธานี,637,0,590,,47,,,,,,,,,
03-03-21,สมุทรสาคร,1738,0,1588,,150,,,,,,,,,
03-03-21,สมุทรสงคราม,169,0,169,,,,,,,,,,,
03-03-21,ราชบุรี,355,0,325,,30,,,,,,,,,
03-03-21,นครปฐม,322,0,298,,24,,,,,,,,,
03-03-21,สมุทรปราการ,428,0,428,,,,,,,,,,,
03-03-21,ชลบุรี,792,0,792,,,,,,,,,,,
03-03-21,ภูเก็ต,350,0,341,,9,,,,,,,,,
03-03-21,สุราษฎร์ธานี,0,0,,,,,,,,,,,,
03-03-21,กรุงเทพมหานคร,439,0,439,,,,,,,,,,,
04-03-21,เชียงใหม่,601,0,586,,15,,,,,,,,,
04-03-21,ตาก,0,0,,,,,,,,,,,,
04-03-21,นนทบุรี,606,0,606,,,,,,,,,,,
04-03-21,ปทุมธานี,679,0,412,,267,,,,,,,,,
04-03-21,สมุทรสาคร,249,0,90,,159,,,,,,,,,
